Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Miao H.; Li C.; Wang J.,"Miao, Hongyu (57215068953); Li, Chengdong (57205525947); Wang, Jing (57226607822)",57215068953; 57205525947; 57226607822,A Future of Smarter Digital Health Empowered by Generative Pretrained Transformer,2023,Journal of Medical Internet Research,25,1,e49963,,,,1,10.2196/49963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172204717&doi=10.2196%2f49963&partnerID=40&md5=ed0550ce64050ecdd722ef7cd0c4d01e,"College of Nursing, Florida State University, Tallahassee, FL, United States","Miao H., College of Nursing, Florida State University, Tallahassee, FL, United States; Li C., College of Nursing, Florida State University, Tallahassee, FL, United States; Wang J., College of Nursing, Florida State University, Tallahassee, FL, United States","Generative pretrained transformer (GPT) tools have been thriving, as ignited by the remarkable success of OpenAI’s recent chatbot product. GPT technology offers countless opportunities to significantly improve or renovate current health care research and practice paradigms, especially digital health interventions and digital health–enabled clinical care, and a future of smarter digital health can thus be expected. In particular, GPT technology can be incorporated through various digital health platforms in homes and hospitals embedded with numerous sensors, wearables, and remote monitoring devices. In this viewpoint paper, we highlight recent research progress that depicts the future picture of a smarter digital health ecosystem through GPT-facilitated centralized communications, automated analytics, personalized health care, and instant decision-making. © 2023 Journal of Medical Internet Research. All rights reserved.",AI; artificial intelligence; ChatGPT; digital health; ethics; generative pretrained model; generative pretrained transformer; precision medicine; privacy,Ecosystem; Health Services Research; Hospitals; Humans; Software; Technology; Article; artificial intelligence; ChatGPT; clinical decision making; clinician; data privacy; digital technology; ecosystem monitoring; ethics; generative pretrained transformer; health care; health education; health service; human; interpersonal communication; medical research; personalized medicine; remote sensing; ecosystem; health services research; hospital; software; technology,"J. Wang; College of Nursing Florida State University, Tallahassee, 98 Varsity Way, 32306, United States; email: JingWang@nursing.fsu.edu",,JMIR Publications Inc.,14388871,,,37751243,English,J. Med. Internet Res.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85172204717
Leung T.I.; Sagar A.; Shroff S.; Henry T.L.,"Leung, Tiffany I. (57023066700); Sagar, Ankita (53865721000); Shroff, Swati (57488897900); Henry, Tracey L. (56599931800)",57023066700; 53865721000; 57488897900; 56599931800,Can AI Mitigate Bias in Writing Letters of Recommendation?,2023,JMIR Medical Education,9,,e51494,,,,1,10.2196/51494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170842982&doi=10.2196%2f51494&partnerID=40&md5=d401a758c8467e8576028bfcd7cba5b2,"Department of Internal Medicine (adjunct), Southern Illinois University School of Medicine, Toronto, ON, Canada; JMIR Publications, Toronto, ON, Canada; CommonSpirit Health, Chicago, IL, United States; Creighton University School of Medicine, Omaha, NE, United States; Division of Internal Medicine, Thomas Jefferson University, Philadelphia, PA, United States; Department of Medicine, Emory University School of Medicine, Atlanta, GA, United States; JMIR Publications, 130 Queens Quay East Unit, 1100, Toronto, M5A 0P6, ON, Canada","Leung T.I., Department of Internal Medicine (adjunct), Southern Illinois University School of Medicine, Toronto, ON, Canada, JMIR Publications, Toronto, ON, Canada, JMIR Publications, 130 Queens Quay East Unit, 1100, Toronto, M5A 0P6, ON, Canada; Sagar A., CommonSpirit Health, Chicago, IL, United States, Creighton University School of Medicine, Omaha, NE, United States; Shroff S., Division of Internal Medicine, Thomas Jefferson University, Philadelphia, PA, United States; Henry T.L., Department of Medicine, Emory University School of Medicine, Atlanta, GA, United States","Letters of recommendation play a significant role in higher education and career progression, particularly for women and underrepresented groups in medicine and science. Already, there is evidence to suggest that written letters of recommendation contain language that expresses implicit biases, or unconscious biases, and that these biases occur for all recommenders regardless of the recommender’s sex. Given that all individuals have implicit biases that may influence language use, there may be opportunities to apply contemporary technologies, such as large language models or other forms of generative artificial intelligence (AI), to augment and potentially reduce implicit biases in the written language of letters of recommendation. In this editorial, we provide a brief overview of existing literature on the manifestations of implicit bias in letters of recommendation, with a focus on academia and medical education. We then highlight potential opportunities and drawbacks of applying this emerging technology in augmenting the focused, professional task of writing letters of recommendation. We also offer best practices for integrating their use into the routine writing of letters of recommendation and conclude with our outlook for the future of generative AI applications in supporting this task. © 2023 JMIR Medical Education. All rights reserved.",artificial intelligence; bias; career advancement; gender bias; implicit bias; large language models; leadership; letters of recommendation; medical education; promotion; sponsorship; tenure and promotion,,"T.I. Leung; Department of Internal Medicine (adjunct), Southern Illinois University School of Medicine, Toronto, Canada; email: tiffany.leung@jmir.org",,JMIR Publications Inc.,23693762,,,,English,JMIR Med. Educ.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85170842982
Kohnke L.; Moorhouse B.L.; Zou D.,"Kohnke, Lucas (56168235400); Moorhouse, Benjamin Luke (57195513283); Zou, Di (56319369100)",56168235400; 57195513283; 56319369100,Exploring generative artificial intelligence preparedness among university language instructors: A case study,2023,Computers and Education: Artificial Intelligence,5,,100156,,,,0,10.1016/j.caeai.2023.100156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165243775&doi=10.1016%2fj.caeai.2023.100156&partnerID=40&md5=08fb28a90a585fa0513714f800136e4a,"The Education University of Hong Kong, Department of English Language Education, Room: B4-1/F-07, 10 Lo Ping Road, Tai Po, Hong Kong; Hong Kong Baptist University, Department of Education Studies, AAB 830 Academic & Administration Building, Baptist University Road Campus, Hong Kong; Lingnan University, Hong Kong","Kohnke L., The Education University of Hong Kong, Department of English Language Education, Room: B4-1/F-07, 10 Lo Ping Road, Tai Po, Hong Kong; Moorhouse B.L., Hong Kong Baptist University, Department of Education Studies, AAB 830 Academic & Administration Building, Baptist University Road Campus, Hong Kong; Zou D., Lingnan University, Hong Kong","The integration of generative artificial intelligence (AI) in English language teaching presents opportunities and challenges for instructors. This study explores the attitudes of higher education English language instructors towards generative AI tools, their intentions to use them and the institutional support and professional development necessary to teach and learn with them. As the field continues to evolve rapidly, it is essential to comprehend the readiness of front-line language instructors. This qualitative interpretive study seeks to identify the digital competencies and pedagogical knowledge required to implement generative AI in education and provide guidance for the design of professional development programmes that address the challenges and concerns associated with adopting AI. Drawing on semi-structured interviews with twelve instructors at a higher education institution in Hong Kong, the findings reveal the significance of familiarity and confidence with using AI-driven teaching tools, the challenges and concerns language instructors face and the need for tailored support and professional development. The study offers ten practical implications to cultivate language instructors’ digital competencies, pedagogical knowledge and positive attitudes towards integrating AI to enhance their students’ learning experiences. © 2023 The Authors",AI; Artificial intelligence; English; Generative AI; Higher education; University language instructors,,"L. Kohnke; The Education University of Hong Kong, Department of English Language Education, Tai Po, Room: B4-1/F-07, 10 Lo Ping Road, Hong Kong; email: lucaskohnke@gmail.com",,Elsevier B.V.,2666920X,,,,English,Comput. Educ.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85165243775
Adewumi T.; Liwicki F.; Liwicki M.,"Adewumi, Tosin (57211028802); Liwicki, Foteini (57216696867); Liwicki, Marcus (14021418000)",57211028802; 57216696867; 14021418000,Vector Representations of Idioms in Conversational Systems,2022,Sci,4,4,37,,,,0,10.3390/sci4040037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144681620&doi=10.3390%2fsci4040037&partnerID=40&md5=81feb55c8c92cd7b7bee3e30da84228d,"ML Group, EISLAB, Luleå University of Technology, Luleå, 971 87, Sweden","Adewumi T., ML Group, EISLAB, Luleå University of Technology, Luleå, 971 87, Sweden; Liwicki F., ML Group, EISLAB, Luleå University of Technology, Luleå, 971 87, Sweden; Liwicki M., ML Group, EISLAB, Luleå University of Technology, Luleå, 971 87, Sweden","In this study, we demonstrate that an open-domain conversational system trained on idioms or figurative language generates more fitting responses to prompts containing idioms. Idioms are a part of everyday speech in many languages and across many cultures, but they pose a great challenge for many natural language processing (NLP) systems that involve tasks such as information retrieval (IR), machine translation (MT), and conversational artificial intelligence (AI). We utilized the Potential Idiomatic Expression (PIE)-English idiom corpus for the two tasks that we investigated: classification and conversation generation. We achieved a state-of-the-art (SoTA) result of a 98% macro F1 score on the classification task by using the SoTA T5 model. We experimented with three instances of the SoTA dialogue model—the Dialogue Generative Pre-trained Transformer (DialoGPT)—for conversation generation. Their performances were evaluated by using the automatic metric, perplexity, and a human evaluation. The results showed that the model trained on the idiom corpus generated more fitting responses to prompts containing idioms 71.9% of the time in comparison with a similar model that was not trained on the idiom corpus. We have contributed the model checkpoint/demo/code to the HuggingFace hub for public access. © 2022 by the authors.",conversational systems; dialog systems; idioms; vector representation,,"T. Adewumi; ML Group, EISLAB, Luleå University of Technology, Luleå, 971 87, Sweden; email: tosin.adewumi@ltu.se",,MDPI,24134155,,,,English,Sci.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85144681620
Wang Y.; Qin Y.; Deng D.; Wei J.; Zhou Y.; Fan Y.; Chen T.; Sun H.; Liu L.; Wei S.; Yin S.,"Wang, Yang (57221509221); Qin, Yubin (57226525611); Deng, Dazheng (56217432800); Wei, Jingchuan (57226529436); Zhou, Yang (57577830200); Fan, Yuanqi (57577162000); Chen, Tianbao (56815997200); Sun, Hao (57219737906); Liu, Leibo (8880228100); Wei, Shaojun (7401765431); Yin, Shouyi (8376913500)",57221509221; 57226525611; 56217432800; 57226529436; 57577830200; 57577162000; 56815997200; 57219737906; 8880228100; 7401765431; 8376913500,An Energy-Efficient Transformer Processor Exploiting Dynamic Weak Relevances in Global Attention,2023,IEEE Journal of Solid-State Circuits,58,1,,227,242,15,3,10.1109/JSSC.2022.3213521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141457304&doi=10.1109%2fJSSC.2022.3213521&partnerID=40&md5=43e02b07207a01858fd5e6c40507eee2,"School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; TsingMicro Technology, Beijing, 100084, China","Wang Y., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Qin Y., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Deng D., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Wei J., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Zhou Y., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Fan Y., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Chen T., TsingMicro Technology, Beijing, 100084, China; Sun H., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Liu L., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Wei S., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China; Yin S., School of Integrated Circuits, The Beijing Innovation Center for Future Chip, Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, 100084, China","Transformer-based models achieve tremendous success in many artificial intelligence (AI) tasks, outperforming conventional convolution neural networks (CNNs) from natural language processing (NLP) to computer vision (CV). Their success relies on the self-attention mechanism that provides a global rather than local receptive field as CNNs. Despite its superiority, the global-level self-attention consumes ∼ 100× more operations than CNNs and cannot be effectively handled by the existing CNN processor due to the distinct operations. It inspires an urgent requirement to design a dedicated Transformer processor. However, global self-attention involves massive naturally existent weakly related tokens (WR-Tokens) due to the redundant contents in human languages or images. These WR-Tokens generate zero and near-zero attention results that introduce energy consumption bottleneck, redundant computations, and hardware under-utilization issues, making it challenging to achieve energy-efficient self-attention computing. This article proposes a Transformer processor effectively handling the WR-Tokens to solve these challenges. First, a big-exact-small-approximate processing element (PE) reduces multiply-and-accumulate (MAC) energy for WR-Tokens by adaptively computing the small values approximately while computing the large values exactly. Second, a bidirectional asymptotical speculation unit captures and removes redundant computations of zero attention outputs by exploiting the local property of self-attention. Third, an out-of-order PE-line computing scheduler improves hardware utilization for near-zero values by reordering the operands to dovetail two operations into one multiplication. Fabricated in a 28-nm CMOS technology, the proposed processor occupies an area of 6.82 mm2. When evaluated with a 90% of approximate computing for the generative pre-trained transformer 2 (GPT-2) model, the peak energy efficiency is 27.56 TOPS/W under 0.56 V at 50 MHz, 17.66× higher than A100 graphics processing unit (GPU). Compared with the state-of-the-art Transformer processor, it reduces energy by 4.57× and offers 3.73× speedup.  © 2022 IEEE.",Approximate computing; out-of-order computing; processor; self-attention; speculating; Transformer,Artificial intelligence; Computer hardware; Energy efficiency; Energy utilization; Green computing; Natural language processing systems; Sports; Approximate computing; Computational modelling; Out of order; Out-of-order computing; Processor; Self-attention; Speculating; Technological innovation; Transformer; Convolution,,,Institute of Electrical and Electronics Engineers Inc.,189200,,IJSCB,,English,IEEE J Solid State Circuits,Article,Final,,Scopus,2-s2.0-85141457304
Nov O.; Singh N.; Mann D.,"Nov, Oded (22981114200); Singh, Nina (57183430900); Mann, Devin (7402056653)",22981114200; 57183430900; 7402056653,Putting ChatGPT's Medical Advice to the (Turing) Test: Survey Study,2023,JMIR Medical Education,9,,e46939,,,,11,10.2196/46939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166004168&doi=10.2196%2f46939&partnerID=40&md5=331ce5bac9de6297558c3f95f28286f2,"Department of Technology Management, Tandon School of Engineering, New York University, New York, NY, United States; Department of Population Health, Grossman School of Medicine, New York University, New York, NY, United States; Medical Center Information Technology, Langone Health, New York University, New York, NY, United States","Nov O., Department of Technology Management, Tandon School of Engineering, New York University, New York, NY, United States; Singh N., Department of Population Health, Grossman School of Medicine, New York University, New York, NY, United States; Mann D., Department of Population Health, Grossman School of Medicine, New York University, New York, NY, United States, Medical Center Information Technology, Langone Health, New York University, New York, NY, United States","Background: Chatbots are being piloted to draft responses to patient questions, but patients' ability to distinguish between provider and chatbot responses and patients' trust in chatbots' functions are not well established. Objective: This study aimed to assess the feasibility of using ChatGPT (Chat Generative Pre-trained Transformer) or a similar artificial intelligence-based chatbot for patient-provider communication. Methods: A survey study was conducted in January 2023. Ten representative, nonadministrative patient-provider interactions were extracted from the electronic health record. Patients' questions were entered into ChatGPT with a request for the chatbot to respond using approximately the same word count as the human provider's response. In the survey, each patient question was followed by a provider- or ChatGPT-generated response. Participants were informed that 5 responses were provider generated and 5 were chatbot generated. Participants were asked-and incentivized financially-to correctly identify the response source. Participants were also asked about their trust in chatbots' functions in patient-provider communication, using a Likert scale from 1-5. Results: A US-representative sample of 430 study participants aged 18 and older were recruited on Prolific, a crowdsourcing platform for academic studies. In all, 426 participants filled out the full survey. After removing participants who spent less than 3 minutes on the survey, 392 respondents remained. Overall, 53.3% (209/392) of respondents analyzed were women, and the average age was 47.1 (range 18-91) years. The correct classification of responses ranged between 49% (192/392) to 85.7% (336/392) for different questions. On average, chatbot responses were identified correctly in 65.5% (1284/1960) of the cases, and human provider responses were identified correctly in 65.1% (1276/1960) of the cases. On average, responses toward patients' trust in chatbots' functions were weakly positive (mean Likert score 3.4 out of 5), with lower trust as the health-related complexity of the task in the questions increased. Conclusions: ChatGPT responses to patient questions were weakly distinguishable from provider responses. Laypeople appear to trust the use of chatbots to answer lower-risk health questions. It is important to continue studying patient-chatbot interaction as chatbots move from administrative to more clinical roles in health care. © 2023 The Author(s).",AI; artificial intelligence; Chat Generative Pre-trained Transformer; chatbot; ChatGPT; ethics; feasibility; language model; large language model; machine learning; patient-provider interaction; privacy,,"O. Nov; Department of Technology Management, Tandon School of Engineering, New York University, New York, 5 Metrotech, Brooklyn, 11201, United States; email: onov@nyu.edu",,JMIR Publications Inc.,23693762,,,,English,JMIR Med. Educ.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85166004168
Ellis A.R.; Slade E.,"Ellis, Amanda R. (56511057900); Slade, Emily (57209802533)",56511057900; 57209802533,A New Era of Learning: Considerations for ChatGPT as a Tool to Enhance Statistics and Data Science Education,2023,Journal of Statistics and Data Science Education,31,2,,128,133,5,1,10.1080/26939169.2023.2223609,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164687651&doi=10.1080%2f26939169.2023.2223609&partnerID=40&md5=f7e291ccf475fa0836f2d461e5d79b6f,"Department of Biostatistics, University of Kentucky, Lexington, KY, United States","Ellis A.R., Department of Biostatistics, University of Kentucky, Lexington, KY, United States; Slade E., Department of Biostatistics, University of Kentucky, Lexington, KY, United States","ChatGPT is one of many generative artificial intelligence (AI) tools that has emerged recently, creating controversy in the education community with concerns about its potential to be used for plagiarism and to undermine students’ ability to think independently. Recent publications have criticized the use of ChatGPT and other generative AI tools in the classroom, with little focus on the potential benefits. This article focuses on the potential of ChatGPT as an educational tool for statistics and data science. It encourages readers to consider the history of trepidation surrounding introducing new technology in the classroom, such as the calculator. We explore the possibility of leveraging ChatGPT’s capabilities in statistics and data science education, providing examples of how ChatGPT can aid in developing course materials and suggestions for how educators can prompt students to interact with ChatGPT responsibly. As educators, we can guide the use of generative AI tools in statistics and data science classrooms so that students and educators can leverage the benefits of this technology. © 2023 The Author(s). Published with license by Taylor & Francis Group, LLC.",Artificial intelligence; Data science; Educational techniques; Statistics education,,"A.R. Ellis; Department of Biostatistics, University of Kentucky, Lexington, 725 Rose Street, MDS 201, 40536, United States; email: amanda.ellis@uky.edu",,Taylor and Francis Ltd.,26939169,,,,English,J. Stat. Data. Sci. Educ.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85164687651
Zhao H.; Chen H.; Yoon H.-J.,"Zhao, Huanhuan (58617937600); Chen, Haihua (57202606836); Yoon, Hong-Jun (34874205500)",58617937600; 57202606836; 34874205500,Enhancing Text Classification Models with Generative AI-aided Data Augmentation,2023,"Proceedings - 5th IEEE International Conference on Artificial Intelligence Testing, AITest 2023",,,,138,145,7,0,10.1109/AITest58265.2023.00030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172240981&doi=10.1109%2fAITest58265.2023.00030&partnerID=40&md5=65bf745f3c2c9adfb38ea5c594bc6a69,"The University of Tennessee, Data Science and Engineering, Knoxville, TN, United States; The University of North Texas, Department of Information Science, Denton, TX, United States; Oak Ridge National Laboratory, Computational Sciences and Engineering Division, Oak Ridge, TN, United States","Zhao H., The University of Tennessee, Data Science and Engineering, Knoxville, TN, United States; Chen H., The University of North Texas, Department of Information Science, Denton, TX, United States; Yoon H.-J., Oak Ridge National Laboratory, Computational Sciences and Engineering Division, Oak Ridge, TN, United States","This study investigated the potential of enhancing the performance of text classification by augmenting the training dataset with external knowledge samples generated by a generative AI, specifically ChatGPT. The study conducted experiments on three models - CNN, HiSAN, and BERT - using the Reuters dataset. First, the study evaluated the effectiveness of incorporating ChatGPT-generated samples and then analyzed the impact of various factors such as sample size, sample variability, and sample length on the models' performance by varying the number, variety, and length of the generated samples. The models were assessed using macro and micro-averaged scores, and the results revealed that the macro-averaged scores improved significantly across all three models, with the BERT model showing the greatest improvement (from 49.87% to 65.73% in macro F1 score). The study further found that adding 30 distinct samples produced better results than adding 6 duplicates of 5 samples, and samples with 150 and 256 words had similar performance, while those with 50 words performed slightly worse. These findings suggest that incorporating external knowledge samples generated by a generative AI is an effective approach to enhance text classification models' performance. The study also highlights that the variability of articles generated by ChatGPT positively impacted the models' accuracy, and longer synthesized texts convey more comprehensive information on the subjects, leading to higher classification accuracy scores. Additionally, we conducted a comparison between our results and those obtained from EDA, a widely used data augmentation generator. The findings clearly demonstrate that our method surpasses EDA and offers additional advantages by reducing computational costs and solving zero-shot problem. Our code is available on GitHub.1 © 2023 IEEE.",artificial intelligence; ChatGPT; data augmentation; imbalanced data; machine learning; natural language processing; text classification,Learning algorithms; Natural language processing systems; Text processing; Zero-shot learning; ChatGPT; Data augmentation; Imbalanced data; Language processing; Machine-learning; Natural language processing; Natural languages; Performance; Text classification; Text classification models; Classification (of information),"H. Zhao; The University of Tennessee, Data Science and Engineering, Knoxville, United States; email: hzhao31@vols.utk.edu",,Institute of Electrical and Electronics Engineers Inc.,,979-835033629-0,,,English,"Proc. - IEEE Int. Conf. Artif. Intell. Test., AITest",Conference paper,Final,,Scopus,2-s2.0-85172240981
Yilmaz R.; Karaoglan Yilmaz F.G.,"Yilmaz, Ramazan (56470437300); Karaoglan Yilmaz, Fatma Gizem (57031921300)",56470437300; 57031921300,"The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy and motivation",2023,Computers and Education: Artificial Intelligence,4,,100147,,,,9,10.1016/j.caeai.2023.100147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161306434&doi=10.1016%2fj.caeai.2023.100147&partnerID=40&md5=c2c84f4a14753cf9e2776c2d600ea2d0,"Faculty of Science, Department of Computer Technology & Information Systems, Bartin University, Bartin, Turkey","Yilmaz R., Faculty of Science, Department of Computer Technology & Information Systems, Bartin University, Bartin, Turkey; Karaoglan Yilmaz F.G., Faculty of Science, Department of Computer Technology & Information Systems, Bartin University, Bartin, Turkey","ChatGPT (generative pre-trained transformer) is one of the artificial intelligence (AI) technologies that have started to be used in programming education. However, the effect of using ChatGPT in programming education on learning processes and outcomes is not yet known. This study investigated the effect of programming education using the ChatGPT on students' computational thinking skills, programming self-efficacy, and motivation toward the lesson. The research was conducted on 45 undergraduate students who took a university-level programming course. The research was carried out according to the experimental design with the pretest-posttest control group. Students were randomly divided into experimental (n = 21) and control (n = 24) groups. While the experimental group students benefited from the ChatGPT during the weekly programming practices, the control group students did not use this tool. Research data were obtained through the computational thinking scale, computer programming self-efficacy scale, and learning motivation in computer programming courses scale. Research findings revealed that the experimental group students' computational thinking skills, programming self-efficacy, and motivation for the lesson were significantly higher than the control group students. In line with this result, it can be said that it may be useful to benefit from AI technologies such as ChatGPT in programming trainings. The research findings, it was emphasized how the most effective use of AI support in the lessons could be made, and various suggestions were made for researchers and educators in this regard. © 2023",Artificial intelligence; ChatGPT; Computational thinking; Generative pretrained transformer; Programming education,,"R. Yilmaz; Faculty of Science, Department of Computer Technology & Information Systems, Bartin University, Bartin, Turkey; email: ramazanyilmaz067@gmail.com",,Elsevier B.V.,2666920X,,,,English,Comput. Educ.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85161306434
Thomas M.; O’Boyle N.M.; Bender A.; de Graaf C.,"Thomas, Morgan (57220878309); O’Boyle, Noel M. (6506512790); Bender, Andreas (8779307500); de Graaf, Chris (8326427000)",57220878309; 6506512790; 8779307500; 8326427000,Augmented Hill-Climb increases reinforcement learning efficiency for language-based de novo molecule generation,2022,Journal of Cheminformatics,14,1,68,,,,6,10.1186/s13321-022-00646-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139425690&doi=10.1186%2fs13321-022-00646-z&partnerID=40&md5=0a9a0dc35ee6ceb8db4b83593f377d5d,"Centre for Molecular Informatics, Department of Chemistry, University of Cambridge, Cambridge, CB2 1EW, United Kingdom; Computational Chemistry, Sosei Heptares, Steinmetz Building, Granta Park, Great Abington, Cambridge, CB21 6DG, United Kingdom","Thomas M., Centre for Molecular Informatics, Department of Chemistry, University of Cambridge, Cambridge, CB2 1EW, United Kingdom; O’Boyle N.M., Computational Chemistry, Sosei Heptares, Steinmetz Building, Granta Park, Great Abington, Cambridge, CB21 6DG, United Kingdom; Bender A., Centre for Molecular Informatics, Department of Chemistry, University of Cambridge, Cambridge, CB2 1EW, United Kingdom; de Graaf C., Computational Chemistry, Sosei Heptares, Steinmetz Building, Granta Park, Great Abington, Cambridge, CB21 6DG, United Kingdom","A plethora of AI-based techniques now exists to conduct de novo molecule generation that can devise molecules conditioned towards a particular endpoint in the context of drug design. One popular approach is using reinforcement learning to update a recurrent neural network or language-based de novo molecule generator. However, reinforcement learning can be inefficient, sometimes requiring up to 105 molecules to be sampled to optimize more complex objectives, which poses a limitation when using computationally expensive scoring functions like docking or computer-aided synthesis planning models. In this work, we propose a reinforcement learning strategy called Augmented Hill-Climb based on a simple, hypothesis-driven hybrid between REINVENT and Hill-Climb that improves sample-efficiency by addressing the limitations of both currently used strategies. We compare its ability to optimize several docking tasks with REINVENT and benchmark this strategy against other commonly used reinforcement learning strategies including REINFORCE, REINVENT (version 1 and 2), Hill-Climb and best agent reminder. We find that optimization ability is improved ~ 1.5-fold and sample-efficiency is improved ~ 45-fold compared to REINVENT while still delivering appealing chemistry as output. Diversity filters were used, and their parameters were tuned to overcome observed failure modes that take advantage of certain diversity filter configurations. We find that Augmented Hill-Climb outperforms the other reinforcement learning strategies used on six tasks, especially in the early stages of training or for more difficult objectives. Lastly, we show improved performance not only on recurrent neural networks but also on a reinforcement learning stabilized transformer architecture. Overall, we show that Augmented Hill-Climb improves sample-efficiency for language-based de novo molecule generation conditioning via reinforcement learning, compared to the current state-of-the-art. This makes more computationally expensive scoring functions, such as docking, more accessible on a relevant timescale. © 2022, The Author(s).",AI; Artificial intelligence; De novo design; Deep learning; Generative models; Hill-Climb; Molecular docking; Recurrent neural network; REINFORCE; Reinforcement learning; REINVENT; SBDD; Structure-based drug design,,"M. Thomas; Centre for Molecular Informatics, Department of Chemistry, University of Cambridge, Cambridge, CB2 1EW, United Kingdom; email: mct50@cam.ac.uk",,BioMed Central Ltd,17582946,,,,English,J. Cheminformatics,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85139425690
